question_english,disease_english,drug_english,treatment_english,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
My doctor has prescribed Inderal 40 Tablet even though my blood pressure is within normal limits. Is it because of the chest pain that I complained of?,chest pain,Inderal 40 Tablet, blood pressure,నా రక్తపోటు సాధారణ పరిమితుల్లో ఉన్నప్పటికీ కూడా నా వైద్యుడు ఇందారాల్ ౪౦ మాత్రలని సిఫారసు చేశాడు. నేను ఫిర్యాదు చేసిన ఛాతీ నొప్పి వల్లనా?,ఛాతీ నొప్పి,ఇందారాల్ ౪౦,రక్తపోటు,আমার ডাক্তার ইন্ডেরাল ৪০ ট্যাবলেট লিখে দিয়েছেন যদিও আমার রক্তচাপ স্বাভাবিক সীমার মধ্যে রয়েছে। আমি বুকে ব্যথার অভিযোগ করেছি তার কারণেই কি?,বুকে ব্যথা,ইন্ডেরাল ৪০,রক্তচাপ,"मेरे चिकित्सक ने इंदरल ४० टैबलेट (Inderal 40 Tablet) निर्धारित किया है, भले ही मेरा रक्त चाप सामान्य सीमा के भीतर हो। क्या यह सीने में दर्द के कारण है जिसकी मैंने शिकायत की थी?",छाती में दर्द,इंदरल ४० टैबलेट,रक्त चाप,எனது இரத்த அழுத்தம் சாதாரண வரம்புகளுக்குள் இருந்தாலும் என் மருத்துவர் இன்டெரல் 40 மாத்திரையை பரிந்துரைத்துள்ளார். நான் புகார் செய்த மார்பு வலி காரணமாக இருக்கிறதா?,மார்பு வலி,இன்டெரல் 40 மாத்திரையை,இரத்த அழுத்தம்,माझा रक्तदाब सामान्य मर्यादेत असला तरीही माझ्या डॉक्टरांनी इंदिरल  ४० एमजी टॅब्लेट लिहून दिले आहे. छातीत दुखण्याची मी तक्रार केली म्हणून का?,छातीत दुखणे,इंदिरल  ४० एमजी गोळी,रक्तदाब,મારું બ્લડ પ્રેશર સામાન્ય મર્યાદામાં હોવા છતાં પણ મારા ડૉક્ટરે ઈન્ડેરલ ૪૦ ટીકડી સૂચવ્યું છે. શું છાતીના દુખાવાના કારણે મેં ફરિયાદ કરી હતી?,છાતીમાં દુખાવો,ઈન્ડેરલ ૪૦ ટીકડી,બ્લડ પ્રેશર,treatment
Should tight bandages be applied to stop bleeding from a wound?,Bleeding from the wound,,tight bandages,గాయం నుండి రక్తస్రావం ఆపడానికి గట్టి పట్టీలు వేయాలా?,గాయం నుండి రక్తస్రావం,,గట్టి పట్టీ,একটি ক্ষত থেকে রক্তপাত বন্ধ করার জন্য টাইট ব্যান্ডেজ প্রয়োগ করা উচিত?,ক্ষত থেকে রক্তপাত,,টাইট ব্যান্ডেজ,क्या घाव से रक्तस्राव को रोकने के लिए टाइट  पट्टियों को लगाना  चाहिए?,घाव से रक्तस्राव,,तंग पट्टियां,காயத்திலிருந்து இரத்தப்போக்கு நிறுத்த இறுக்கமான கட்டுகள் பயன்படுத்தப்பட வேண்டுமா?,காயத்திலிருந்து இரத்தப்போக்கு,,இறுக்கமான கட்டுகள்,जखमेतून रक्तस्त्राव,जखमेतून रक्तस्त्राव होतो,,घट्ट पट्टी,ઘામાંથી રક્તસ્ત્રાવ બંધ કરવા માટે ચુસ્ત પટ્ટીઓ લગાવવી જોઈએ?,ઘામાંથી રક્તસ્ત્રાવ,,ચુસ્ત પટ્ટીઓ,treatment
What is the importance of family members getting eye exams?,,,eye exams,కుటుంబ సభ్యులు కంటి పరీక్షలు చేయించుకోవడం యొక్క ప్రాముఖ్యత ఏమిటి?,,,కంటి పరీక్షలు,পরিবারের সদস্যদের চোখ পরীক্ষা করার গুরুত্ব কী?,,,চোখ পরীক্ষা,परिवार के सदस्यों की आँखों का परिक्षण करवाने  का क्या महत्व है?,,,आँखों का परिक्षण,குடும்ப உறுப்பினர்கள் கண் பரிசோதனைகள் பெறுவதன் முக்கியத்துவம் என்ன?,,,கண் பரிசோதனைகள்,कुटुंबातील सदस्यांच्या नेत्र तपासणीचे महत्त्व काय आहे?,,,नेत्र तपासणी,પરિવારના સભ્યોની આંખની તપાસ કરાવવાનું શું મહત્વ છે?,,,આંખની તપાસ,treatment
Which lab tests may my child undergo while taking Taxim-O Dry Syrup Delicious Pineapple on a long-term basis?,,Taxim-O Dry Syrup Delicious Pineapple,lab tests,టాక్సిమ్-ఓ డ్రై సిరప్ రుచికరమైన పైనాపిల్‌ను దీర్ఘకాలిక ప్రాతిపదికన తీసుకుంటూ నా బిడ్డ ఏ ల్యాబ్ పరీక్షలు చేయించుకోవచ్చు?,,టాక్సిమ్-ఓ డ్రై సిరప్ రుచికరమైన పైనాపిల్‌,ల్యాబ్ పరీక్షలు,টাক্সিম-ও ড্রাই সিরাপ ডেলিসিয়াস পাইনয়াপেল দীর্ঘমেয়াদী ভিত্তিতে গ্রহণ করার সময় আমার সন্তানের কোন কোন ল্যাব পরীক্ষা করতে হতে পারে?,,টাক্সিমও ড্রাই সিরাপ ডেলিসিয়াস পাইনয়াপেল,ল্যাব পরীক্ষা,लंबे समय तक टैक्सीम-ओ ड्राय सिरप डिलीशियस पाइनएप्पल लेते समय मेरे बच्चे को कौन से लैब टेस्ट से गुजरना पड़ सकता है?,,टैक्सीम-ओ ड्राय सिरप डिलीशियस पाइनएप्पल,प्रयोगशाला परीक्षण,டாக்ஸிம்-ஓ உலர் சிரப் சுவையான அன்னாசிப்பழத்தை நீண்ட கால அடிப்படையில் எடுத்துக் கொள்ளும்போது எனது குழந்தை எந்த ஆய்வக சோதனைகளுக்கு உட்படுத்தப்படலாம்?,,டாக்ஸிம்-ஓ உலர் சிரப் சுவையான அன்னாசிப்பழத்தை,ஆய்வக சோதனைகளுக்கு,टॅक्सिम-ओ ड्राई डिस्लिझस अननस सिरप दीर्घकालीन आधारावर घेताना माझ्या मुलाच्या  प्रयोगशाळेतील कोणत्या चाचण्या होऊ शकतात?,,टॅक्सिम-ओ ड्राई डिस्लिझस अननस सिरप,,લાંબા ગાળાના ધોરણે ટેક્સિમ-ઓ ડ્રાય સીરપ સ્વાદિષ્ટ અનેનાસ લેતી વખતે મારું બાળક કયા લેબ ટેસ્ટમાંથી પસાર થઈ શકે છે?,,ટેક્સિમ-ઓ ડ્રાય સીરપ,લેબ ટેસ્ટ,treatment
Does massage help relieve joint pain?,Joint pain,,massage,మసాజ్ కీళ్ల నొప్పుల నుండి ఉపశమనం పొందడానికి సహాయపడుతుందా?,కీళ్ల నొప్పుల,,మసాజ్,ম্যাসেজ কি জয়েন্টের ব্যথা উপশম করতে সাহায্য করে?,জয়েন্টের ব্যথা,,ম্যাসেজ,क्या मालिश जोड़ों के दर्द से राहत दिलाने में मदद करती है?,जोड़ों के दर्द,,मालिश ,மூட்டு வலியைப் போக்க மசாஜ் உதவுமா?,மூட்டு வலியைப்,,மசாஜ்,मालिश केल्याने सांधेदुखीपासून आराम मिळतो का?,सांधेदुखी,,मालिश,શું મસાજ સાંધાનો દુખાવો દૂર કરવામાં મદદ કરે છે?,સાંધાનો દુખાવો,,મસાજ,treatment
How to relieve nausea post-chemotherapy?,nausea,,Chemotherapy,కీమోథెరపీ తర్వాత వికారం నుండి ఎలా ఉపశమనం పొందాలి?,వికారం,,కీమోథెరపీ,কেমোথেরাপির পরে বমি বমি ভাব থেকে কীভাবে মুক্তি পাবেন?,বমি বমি ভাব,,কেমোথেরাপি,कीमोथेरेपी के बाद मतली से कैसे छुटकारा पाएं?,मतली,,कीमोथेरेपी,குமட்டல் பிந்தைய கீமோதெரபியை எவ்வாறு அகற்றுவது?,குமட்டல்,,கீமோதெரபியை,केमोथेरपीनंतर मळमळ कशी दूर करावी?,मळमळ,,केमोथेरपी,કીમોથેરાપી પછી ઉબકા કેવી રીતે દૂર કરવી?,ઉબકા,,કીમોથેરાપી,treatment
Can only a fiber rich diet keep constipation away?,constipation,,fiber rich diet,ఫైబర్ అధికంగా ఉండే ఆహారం మాత్రమే మలబద్ధకాన్ని దూరం చేయగలదా?,మలబద్ధకం,,ఫైబర్ అధికంగా ఉండే ఆహారం,শুধুমাত্র ফাইবার সমৃদ্ধ খাদ্য কোষ্ঠকাঠিন্য দূরে রাখতে পারে?,কোষ্ঠকাঠিন্য,,ফাইবার সমৃদ্ধ খাদ্য,क्या केवल फाइबर युक्त आहार ही कब्ज को दूर रख सकता है?,कब्ज,,फाइबर युक्त आहार,ஃபைபர் நிறைந்த உணவு மட்டுமே மலச்சிக்கலை விலக்கி வைக்க முடியுமா?,மலச்சிக்கலை,,ஃபைபர் நிறைந்த உணவு,फक्त फायबरयुक्त आहार बद्धकोष्ठता दूर ठेवू शकतो का?,बद्धकोष्ठता,,फायबरयुक्त आहार,શું માત્ર ફાઈબરયુક્ત આહાર કબજિયાતને દૂર રાખી શકે છે?,કબજિયાત,,ફાઈબરયુક્ત આહાર,treatment
I have been prescribed Pregalin 75 Capsule for pain due to shingles. When can I expect relief from pain?,pain due to shingles,Pregalin 75 Capsule,relief from pain,షిన్గిల్స్ కారణంగా నొప్పి కోసం నేను ప్రీగాలిన్ ౭౫ గుళిక ను సూచించాను. నేను నొప్పి నుండి ఉపశమనాన్ని ఎప్పుడు ఆశించగలను?,షిన్గిల్స్,ప్రీగాలిన్ ౭౫ గుళిక,నొప్పి నుండి ఉపశమనం,দাদ সংক্রমণজনিত ব্যথার জন্য আমাকে প্রেগালীন ৭৫ ক্যাপসুল নির্ধারণ করা হয়েছে। আমি কখন ব্যথা থেকে মুক্তি আশা করতে পারি?,দাদ সংক্রমণজনিত ব্যথা,প্রেগালীন ৭৫ ক্যাপসুল,ব্যথা থেকে মুক্তি,मुझे प्रेगालिन 75 कैप्सूल लेने की सलाह दाद के दर्द के लिए दी गयी है. मैं दर्द से राहत की उम्मीद कब कर सकता हूं?,दाद का दर्द,प्रेगालिन 75 कैप्सूल,दर्द से राहत,சிங்கிள்ஸ் காரணமாக ஏற்படும் வலிக்கு எனக்கு ப்ரீகலின் 75 கேப்ஸ்யூல் பரிந்துரைக்கப்பட்டுள்ளது. வலியிலிருந்து நான் எப்போது நிவாரணம் எதிர்பார்க்க முடியும்?,சிங்கிள்ஸ் காரணமாக ஏற்படும் வலிக்கு,ப்ரீகலின் 75 கேப்ஸ்யூல்,வலியிலிருந்து நான் எப்போது நிவாரணம்,मला प्रेगलिन ७५ कॅप्सूल लिहून दिले आहे कारण नागीणमुळे वेदना होतात. मी वेदनापासून मुक्त होण्याची अपेक्षा कधी करू शकतो?,शिंगल्समुळे वेदना,प्रेगलिन ७५ कॅप्सूल,वेदना पासून आराम,મને દાદરને લીધે થતા દુખાવા માટે પ્રેગાલિન ૭૫ કેપ્સ્યુલ (પ્રેગલિન ૭૫ કૅપ્સ્યુલ) સૂચવવામાં આવ્યું છે. હું ક્યારે પીડામાંથી રાહતની અપેક્ષા રાખી શકું?,દાદરને લીધે થતો  દુખાવો,પ્રેગાલિન ૭૫ કેપ્સ્યુલ,પીડામાંથી રાહત,treatment
For how long do I need to continue Nikoran 5 Tablet?,,Nikoran 5 Tablet,,నేను నికోరన్ ౫ మాత్ర ఎంతకాలం ఉపయోగించాలి?,,నికోరన్ ౫ మాత్ర,,নিকোরান ৫ ট্যাবলেট কতদিন চালিয়ে যেতে হবে?,,নিকোরান ৫ ট্যাবলেট,,मुझे कितने समय तक निकोरन 5 टैबलेट जारी रखने की जरुरत है?,,निकोरन 5 टैबलेट,,நான் எவ்வளவு நாட்கள் நிகோரன் 5 மாத்திரை (நிகோரன் 5 மாத்திரைt) தொடர வேண்டும்?,,நிகோரன் 5 மாத்திரை,,मला किती काळ निकोरन 	५ टॅब्लेट चालू ठेवायचे आहे?,,निकोरन 	५ टॅब्लेट,,મારે કેટલા સમય સુધી નિકોરાન ૫ ટીકડી ચાલુ રાખવાની જરૂર છે?,,નિકોરાન ૫ ટીકડી,,treatment
Can I undergo cataract surgery while taking Silodal 8 Capsule?,,Silodal 8 Capsule,cataract surgery,సిలోదాళ్ ౮ క్యాప్సూల్ తీసుకునేటప్పుడు నేను కంటిశుక్లం శస్త్రచికిత్స చేయించుకోవచ్చా?,,సిలోదాళ్ ౮ క్యాప్సూల్,కంటిశుక్లం శస్త్రచికిత్స,সিলোডল ৮ ক্যাপসুল খাওয়ার সময় আমি ছানি অস্ত্রোপচার করতে পারি?,,সিলোডল ৮ ক্যাপসুল,ছানি অস্ত্রোপচার,क्या सिलोडाल ८ कैप्सूल लेते समय मोतियाबिंद की सर्जरी हो सकती है?,,सिलोडाल ८ कैप्सूल,मोतियाबिंद ऑपरेशन,சிலோடல் ​​8 காப்ஸ்யூலை எடுக்கும்போது நான் கண்புரை அறுவை சிகிச்சை செய்ய முடியுமா?,,சிலோடல் ​​8 காப்ஸ்யூல்,கண்புரை அறுவை சிகிச்சை,सिलोडल ८ कॅप्सूल घेताना मी मोतीबिंदूची शस्त्रक्रिया करू शकतो का?,मोतीबिंदू,सिलोडल ८ कॅप्सूल,मोतीबिंदूची शस्त्रक्रिया,શું હું સિલોદલ ૮ કેપ્સ્યુલ લેતી વખતે મોતિયાની સર્જરી કરાવી શકું?,,સિલોદલ ૮ કેપ્સ્યુલ,મોતિયાની સર્જરી,treatment
What does a fistula smell like?,fistula,,,ఫిస్టులా వాసన ఎలా ఉంటుంది?,ఫిస్టులా,,,ফিস্টুলার গন্ধ কেমন?,ফিস্টুলা,,,एक नालव्रण की गंध क्या है?,नासूर,,,ஒரு ஃபிஸ்துலா வாசனை எப்படி இருக்கும்?,ஃபிஸ்துலா,,,भगंदरचा वास कसा असतो?,भगंदर,,,ભગંદરની ગંધ કેવી હોય છે?,ભગંદર,,,disease
How long does it take before we can see improvement in the symptoms of rickets?,rickets,,,రికెట్స్ యొక్క లక్షణాల్లో మెరుగుదలను మనం చూడటానికి ఎంత సమయం పడుతుంది?,రికెట్స్,,,রিকেটস-এর লক্ষণগুলির উন্নতি দেখতে পেতে আমাদের কতক্ষণ সময় লাগে?,রিকেটস,,,रिकेट्स के लक्षणों में सुधार देखने में हमें कितना समय लगता है?,रिकेट्स,,,ரிக்கெட்டுகளின் அறிகுறிகளில் முன்னேற்றத்தைக் காண எவ்வளவு நேரம் ஆகும்?,ரிக்கெட்டு,,,मुडदूसच्या लक्षणांमध्ये सुधारणा दिसण्यापूर्वी किती वेळ लागतो?,मुडदूस,,,રિકેટ્સના લક્ષણોમાં સુધારો જોવા મળે તે પહેલા કેટલો સમય લાગે છે?,રિકેટ્સ,,,disease
Can ear infections cause ear pains in adults?,"Ear infections, ear pain",,,చెవి ఇన్ఫెక్షన్లు పెద్దవారిలో చెవి నొప్పులను కలిగిస్తాయా?,"చెవి ఇన్ఫెక్షన్లు,చెవి నొప్పులు",,,কানের সংক্রমণ কি প্রাপ্তবয়স্কদের মধ্যে কানের ব্যথার কারণ হতে পারে?,"কানের সংক্রমণ, কানের ব্যথা",,,क्या कान के संक्रमण से वयस्कों के  कान में दर्द हो सकता है?,"कान में संक्रमण, कान का दर्द",,,காது நோய்த்தொற்றுகள் பெரியவர்களில் காது வலியை ஏற்படுத்த முடியுமா?,"காது நோய்த்தொற்றுகள், காது வலியை",,,कानाच्या संसर्गामुळे प्रौढांमध्ये कान दुखू शकतात?,"कानात संक्रमण, कानात दुखणे",,,શું કાનના ચેપથી પુખ્ત વયના લોકોમાં કાનમાં દુખાવો થઈ શકે છે?,"કાનના ચેપ, કાનમાં દુખાવો",,,disease
Is diabetes insipidus same as diabetes mellitus?,"Diabetes insipidus, diabetes mellitus",,,డయాబెటిస్ ఇన్సిపిడస్ మరియు డయాబెటిస్ మెల్లిటస్ ఒకటేనా?,"డయాబెటిస్ ఇన్సిపిడస్ , డయాబెటిస్ మెల్లిటస్",,,ডায়াবেটিস ইনসিপিডাস আর ডায়াবেটিস মেলিটাস কি একই?,"ডায়াবেটিস ইনসিপিডাস, ডায়াবেটিস মেলিটাস",,,क्या मधुमेह इन्सिपिडस मधुमेह मेलिटस के समान है?,"मधुमेह इन्सिपिडस, मधुमेह मेलिटस",,,நீரிழிவு இன்சிபிடஸ் நீரிழிவு நோயைப் போலவே இருக்கிறதா?,"நீரிழிவு இன்சிபிடஸ், நீரிழிவு நோயைப்",,,मधुमेह इन्सिपिडस हा मधुमेह मेलिटससारखाच आहे का?,"मधुमेह इन्सिपिडस,मधुमेह मेलिटससारखाच",,,"શું ડાયાબિટીસ ઇન્સિપિડસ, ડાયાબિટીસ મેલીટસ જેવું જ છે?","ડાયાબિટીસ ઇન્સિપિડસ, ડાયાબિટીસ મેલીટસ",,,disease
Can stress cause urticaria?,"urticaria, stress",,,ఒత్తిడి ఉర్టికేరియాకు కారణమవుతుందా?,"ఒత్తిడి, ఉర్టికేరియా",,,স্ট্রেস কি আমবাতের কারণ হতে পারে?,"আমবাত, স্ট্রেস",,,क्या तनाव पित्ती का कारण बन सकता है?,"पित्ती, तनाव",,,மன அழுத்தம் யூர்டிகேரியாவை ஏற்படுத்துமா?,"மன அழுத்தம், யூர்டிகேரியாவை",,,तणावामुळे शीत पित्त होऊ शकतो का?,"तणाव,शीत पित्त",,,શું તણાવ અિટકૅરીયાનું કારણ બની શકે છે?,"અિટકૅરીયાનું, તણાવ",,,disease
Does exercise help arthritis?,arthritis,,exercise,ఆర్థరైటిస్ కు వ్యాయామం సహాయపడుతుందా?,ఆర్థరైటిస్,,వ్యాయామం,ব্যায়াম কি আর্থ্রাইটিসে সাহায্য করে?,আর্থ্রাইটিস,,ব্যায়াম,क्या व्यायाम गठिया में मदद करता है?,गठिया,,व्यायाम,உடற்பயிற்சி கீல்வாதத்திற்கு உதவுமா?,கீல்வாதத்திற்கு,,உடற்பயிற்சி,व्यायामामुळे संधिवात मदत होते का?,संधिवात,,व्यायाम,શું કસરત સંધિવામાં મદદ કરે છે?,સંધિવા,,કસરત,disease
What diet should I take if I have hypothyroidism?,Hypothyroidism,diet,,నాకు హైపోథైరాయిడిజం ఉంటే నేను ఎలాంటి ఆహారం తీసుకోవాలి?,హైపోథైరాయిడిజం,ఆహారం,,হাইপোথাইরয়েডিজম থাকলে আমার কী ডায়েট নেওয়া উচিত?,হাইপোথাইরয়েডিজম,ডায়েট,,हाइपोथायरायडिज्म होने पर मुझे कौन सा आहार लेना चाहिए?,हाइपोथायरायडिज्म,आहार,,எனக்கு ஹைப்போ தைராய்டிசம் இருந்தால் நான் என்ன உணவை எடுக்க வேண்டும்?,ஹைப்போ தைராய்டிசம்,உணவை ,,मला हायपोथायरॉईडीझम असल्यास मी कोणता आहार घ्यावा?,हायपोथायरॉईडीझम,,,જો મને હાઈપોથાઈરોડિઝમ હોય તો મારે કયો આહાર લેવો જોઈએ?,હાઈપોથાઈરોડિઝમ,આહાર,,disease
"If your child is lactose intolerant, what are the other food sources for obtaining Vitamin D?",lactose intolerant,vitamin D,,"ఒకవేళ మీ బిడ్డ లాక్టోస్ అసహనంగా ఉన్నట్లయితే, విటమిన్ డి పొందడం కొరకు ఇతర ఆహార వనరులు ఏవి?",లాక్టోస్ అసహనం,విటమిన్ డి,,"যদি আপনার শিশু ল্যাকটোজ অসহিষ্ণু হয়, তাহলে ভিটামিন ডি-এর উৎস অন্যান্য খাবার কী কী?",ল্যাকটোজ অসহিষ্ণু,ভিটামিন ডি,,"यदि आपका बच्चा लैक्टोज असहिष्णु है, तो विटामिन डी प्राप्त करने के लिए अन्य खाद्य स्रोत क्या हैं?",लैक्टोज असहिष्णु,विटामिन डी,,"உங்கள் பிள்ளை லாக்டோஸ் சகிப்புத்தன்மையற்றவராக இருந்தால், வைட்டமின் டி பெறுவதற்கான பிற உணவு ஆதாரங்கள் யாவை?",லாக்டோஸ் சகிப்புத்தன்மையற்றவராக,வைட்டமின் டி,,"जर तुमचे मूल लैक्टोज असहिष्णु असेल, तर व्हिटॅमिन डी मिळवण्यासाठी इतर अन्न स्रोत कोणते आहेत?",लैक्टोज असहिष्णु,व्हिटॅमिन डी,,"જો તમારું બાળક લેક્ટોઝ અસહિષ્ણુ હોય, તો વિટામિન ડી મેળવવા માટેના અન્ય ખાદ્ય સ્ત્રોતો કયા છે?",લેક્ટોઝ અસહિષ્ણુ,વિટામિન ડી,,disease
Can any type of laxative be used for Crohn's disease?,crohn's disease,laxative,,క్రోన్స్ వ్యాధికి ఏ రకమైన భేదిమందు ఉపయోగించవచ్చా?,క్రోన్స్ వ్యాధి,భేదిమందు,,ক্রোন রোগের জন্য কি কোনও ধরণের রেচক ব্যবহার করা যেতে পারে?,ক্রোন রোগ,রেচক,,क्या क्रोहन रोग के लिए किसी भी प्रकार के रेचक का प्रयोग किया जा सकता है?,क्रोहन रोग,रेचक,,க்ரோன் நோய்க்கு ஏதேனும் ஒரு மலமிளக்கியைப் பயன்படுத்த முடியுமா?,க்ரோன் நோய்,மலமிளக்கியைப்,,क्रोहन रोगासाठी कोणत्याही प्रकारचे रेचक वापरले जाऊ शकते का?,क्रोहन रोग,रेचक,,શું ક્રોહન રોગ માટે કોઈપણ પ્રકારના રેચકનો ઉપયોગ કરી શકાય છે?,ક્રોહન રોગ,રેચક,,disease
Can people with gallstones exercise?,gallstone,,exercise,పిత్తాశయ రాళ్లు ఉన్నవారు వ్యాయామం చేయవచ్చా?,పిత్తాశయ రాళ్లు,,వ్యాయామం,গলস্টোনে আক্রান্ত ব্যক্তিরা কি ব্যায়াম করতে পারেন?,গলস্টোন,,ব্যায়াম,क्या पित्त पथरी वाले लोग व्यायाम कर सकते हैं?,पित्त पथरी,,व्यायाम,பித்தப்பை கொண்டவர்கள் உடற்பயிற்சி செய்ய முடியுமா?,பித்தப்பை,,உடற்பயிற்சி,पित्त खडे असलेले लोक व्यायाम करू शकतात?,पित्त खडे,,व्यायाम,શું પિત્તાશયની પથરીવાળા લોકો કસરત કરી શકે છે?,પિત્તાશયની પથરી,,કસરત,disease
