question_english,disease_english,drug_english,treatment_english,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
Can the use of Jalra-M  50mg/1000mg Tablet lead to Vitamin B12 deficiency?,Vitamin B12 deficiency,Jalra-M 50mg/1000 mg Tablet,,జల్రా-మ్ ౫౦ మిగ్రా/౧౦౦౦ మిగ్రా మాత్ర యొక్క ఉపయోగం విటమిన్ బి౧౨ లోపానికి దారితీస్తుందా?,విటమిన్ బి౧౨,జల్రా-మ్ ౫౦ మిగ్రా/౧౦౦౦ మిగ్రా మాత్ర,,জলরা-এম ৫০ মিলিগ্রাম/ ১০০০ মিলিগ্রাম ট্যাবলেট ব্যবহার করলে ভিটামিন ব১২ এর অভাব হতে পারে কি?,ভিটামিন ব১২,জলরাএম ৫০ মিলিগ্রাম/ ১০০০ মিলিগ্রাম,,क्या जालरा-एम ५०एमजी/१० एमजी टैबलेट के इस्तेमाल से विटामिन बी12 की कमी हो सकती है?,विटामिन बी12 की कमी,जालरा-एम ५०एमजी/१० एमजी टैबलेट,,ஜல்ரா-எம் 50 எம்ஜி/1000 மி.கி மாத்திரையின் பயன்பாடு வைட்டமின் பி 12 குறைபாட்டிற்கு வழிவகுக்கும்?,வைட்டமின் பி 12 குறைபாட்டிற்கு,ஜல்ரா-எம் 50 எம்ஜி/1000 மி.கி மாத்திரையின்,,जलरा-एम ५० एमजी / १००० एमजी गोळी च्या वापरामुळे जीवनसत्व बी १२ ची कमतरता होऊ शकते का?,जीवनसत्व बी १२ ची कमतरता,जलरा-एम 	५० एमजी / १००० एमजी,,શું જલરા-એમ ૫૦ મિલિગ્રામ/૧૦૦૦ મિલિગ્રામ ટીકડી ના ઉપયોગથી વિટામિન બી૧૨ ની ઉણપ થઈ શકે છે?,વિટામિન બી૧૨ ની ઉણપ,જલરા-એમ ૫૦ મિલિગ્રામ/૧૦૦૦ મિલિગ્રામ ટીકડી,,drug
Can Ecosprin-AV 75 Capsule affect the liver?,affect the liver,Ecosprin-Av 75 Capsule,,ఇది ఎకోస్ప్రిన్-ఏవీ ౭౫ క్యాప్సూల్ కాలేయాన్ని ప్రభావితం చేస్తుందా?,కాలేయాన్ని ప్రభావితం,ఎకోస్ప్రిన్-ఏవీ ౭౫ క్యాప్సూల్,,একস্প্রিং-এভি ৭৫ ক্যাপসুল কি লিভারের ক্ষতি করতে পারে?,ক্ষতি করা,একস্প্রিংএভি ৭৫,,क्या इकोस्प्रिन-एवी ७५ कैप्सूल यकृत को प्रभावित कर सकता है?,लीवर पर असर,इकोस्प्रिन-एवी ७५ कैप्सूल,,ஈகோஸ்ப்ரின்-ஏவி 75 காப்ஸ்யூல் கல்லீரலை பாதிக்க முடியுமா?,கல்லீரலை பாதிக்க,ஈகோஸ்ப்ரின்-ஏவி 75 காப்ஸ்யூல் ,,एकॉस्प्रिन  ए ७५ कॅप्सूल चा यकृतावर परिणाम होऊ शकतो का?,यकृतावर परिणाम,एकॉस्प्रिन  ए ७५ कॅप्सूल,,શું ઇકોસ્પ્રિન-એવી ૭૫ કેપ્સ્યુલ યકૃત પર અસર કરી શકે છે?,યકૃત પર અસર,ઇકોસ્પ્રિન-એવી ૭૫ કેપ્સ્યુલ,,drug
Can I stop taking Inderal LA 20 Tablet SR as my chest pain is under control?,Chest pain,Inderal LA 20 Tablet SR,,నా ఛాతీ నొప్పి నియంత్రణలో ఉన్నందున నేను ఇందారల్ ఎల్ఏ ౨౦ మాత్ర ఎస్ఆర్ తీసుకోవడం ఆపివేయవచ్చా?,ఛాతీ నొప్పి,ఇందారల్ ఎల్ఏ ౨౦ మాత్ర ఎస్ఆర్,,আমার বুকে ব্যথা নিয়ন্ত্রণে থাকায় ইন্ডেরাল এলএ ট্যাবলেট এসআর গ্রহণ করা কি আমি বন্ধ করতে পারি?,বুকে ব্যথা,ইন্ডেরাল এলএ ট্যাবলেট এসআর,,क्या मैं इंदरल एलए २० टैबलेट एसआर लेना बंद कर सकता हूं क्योंकि मेरी छाती में दर्द नियंत्रण में है?,छाती में दर्द,इंदरल एलए २० टैबलेट एसआर,,என் மார்பு வலி கட்டுப்பாட்டில் இருப்பதால் இன்ஸ்டெரல் லா 20 டேப்லெட் எஸ்.ஆர் எடுப்பதை நான் நிறுத்தலாமா?,மார்பு வலி,இன்ஸ்டெரல் லா 20 டேப்லெட் எஸ்.ஆர்,,माझी छाती दुखणे नियंत्रणात आहे म्हणून मी इंदिरल एल ए 20 एसआर टॅब्लेट थांबवू शकतो का?,छाती दुखणे,इंदिरल  एल ए २० एसआर गोळी,,શું હું ઈન્ડેરલ એલએ ૨૦ ટીકડી એસઆર લેવાનું બંધ કરી શકું કારણ કે મારી છાતીમાં દુખાવો નિયંત્રણમાં છે?,છાતીમાં દુખાવો,ઈન્ડેરલ એલએ ૨૦ ટીકડી એસઆર,,drug
I have been taking Tryptomer 10mg Tablet for depression since a week and recently I have been wanting to harm myself. What should I do? Is it because of the medicine?,Depression,Triptomer 10mg Tablet,,నేను ఒక వారం నుంచి డిప్రెషన్ కొరకు ట్రిప్టోమర్ ౧౦ మిగ్రా మాత్ర తీసుకుంటున్నాను మరియు ఇటీవల నేను నాకు హాని చేయాలని అనుకుంటున్నాను. నేను ఏమి చేయాలి? ఇది ఔషధం వల్లనా?,డిప్రెషన్,ట్రిప్టోమర్ ౧౦ మిగ్రా మాత్ర,,আমি এক সপ্তাহ ধরে বিষণ্নতার জন্য ট্রিপ্টোমার ১০ মিলিগ্রাম ট্যাবলেট গ্রহণ করছি এবং সম্প্রতি আমি নিজেকে ক্ষতি করতে চেয়েছিলাম। আমি কী করবো? এটা কি ওষুধের কারণে?,বিষণ্নতা,ট্রিপ্টোমার ১০ মিলিগ্রাম,,मैं एक हफ्ते से डिप्रेशन के लिए ट्रिप्टोमर १०एमजी टैबलेट  ले रहा हूं और हाल ही में मैं खुद को नुकसान पहुंचाना चाहता हूं। मुझे क्या करना चाहिए? क्या यह दवा के कारण है?,डिप्रेशन,ट्रिप्टोमर १०एमजी टैबलेट,,"நான் ஒரு வாரத்திலிருந்து மனச்சோர்வுக்காக டிரிப்டோமர் 10 எம்ஜி மாத்திரையை எடுத்து வருகிறேன், சமீபத்தில் எனக்கு தீங்கு செய்ய விரும்புகிறேன். நான் என்ன செய்ய வேண்டும்? இது மருந்து காரணமாக இருக்கிறதா?",மனச்சோர்வுக்காக,டிரிப்டோமர் 10 எம்ஜி மாத்திரையை,,मी एका आठवड्यापासून नैराश्यासाठी ट्रिप्टोमर 10 एमजी टॅब्लेट घेत आहे आणि अलीकडे मला स्वतःला इजा करायची आहे. मी काय करू? औषधामुळे आहे का?,नैराश्य,ट्रिप्टोमर १० एमजी गोळी,,હું એક અઠવાડિયાથી ડિપ્રેશન માટે ટ્રિપ્ટોમર ૧૦ મિલિગ્રામ ટીકડી લઈ રહ્યો છું અને તાજેતરમાં હું મારી જાતને નુકસાન પહોંચાડવા માંગું છું. મારે શું કરવું જોઈએ? શું તે દવાને કારણે છે?,ડિપ્રેશન,ટ્રિપ્ટોમર ૧૦ મિલિગ્રામ ટીકડી,,drug
Can I take Forxiga 10mg Tablet before surgery?,,Forxiga 10mg Tablet,surgery,నేను శస్త్రచికిత్సకు ముందు ఫోర్క్సిగా ౧౦మిగ్రా తీసుకోవచ్చా?,,ఫోర్క్సిగా ౧౦మిగ్రా,శస్త్రచికిత్స,সার্জারির আগে কি ফরক্সিগা ১০ মিলিগ্রাম ট্যাবলেট নিতে পারি?,,ফরক্সিগা ১০ মিলিগ্রাম,সার্জারি,मुझे कितने समय तक आईटी-मैक २०० कैप्सूल लेने की जरुरत होती है?,,आईटी-मैक २०० कैप्सूल,सर्जरी ,அறுவைசிகிச்சைக்கு முன் நான் ஃபோர்சிகா 10 எம்ஜி மாத்திரையை எடுக்கலாமா?,,ஃபோர்சிகா 10 எம்ஜி மாத்திரையை ,அறுவைசிகிச்சைக்கு,मी शस्त्रक्रियेपूर्वी फॉर्क्सिगा १० एमजी गोळी घेऊ शकतो का?,,फॉर्क्सिगा १० एमजी गोळी,शस्त्रक्रिया,શું હું સર્જરી પહેલા ફોર્સિગા ૧૦ મિલિગ્રામ ટીકડી લઈ શકું?,,ફોર્સિગા ૧૦ મિલિગ્રામ ટીકડી,સર્જરી,drug
Can I take Justoza 10mg Tablet before surgery?,,Justoza 10mg Tablet,surgery,శస్త్రచికిత్సకు ముందు నేను జస్టోసా ౧౦మిగ్రా మాత్ర తీసుకోవచ్చా?,,జస్టోసా ౧౦మిగ్రా మాత్ర,శస్త్రచికిత్స,অস্ত্রোপচারের আগে জাস্টজ়া ১০ মিলিগ্রাম ট্যাবলেট নিতে পারি কি?,,জাস্টজ়া ১০ মিলিগ্রাম,অস্ত্রোপচার,क्या मैं सर्जरी से पहले जस्टोज़ा १०एमजी टैबलेट ले सकता हूं?,,जस्टोज़ा १०एमजी टैबलेट,सर्जरी ,அறுவை சிகிச்சைக்கு முன் நான் ஜஸ்டோசா 10 எம்ஜி மாத்திரையை எடுக்கலாமா?,,ஜஸ்டோசா 10 எம்ஜி மாத்திரையை ,அறுவை சிகிச்சைக்கு,मी शस्त्रक्रियेपूर्वी जुस्तोजा १० एम जी टॅबलेट  घेऊ शकतो का?,,जुस्तोजा १० एम जी,शस्त्रक्रिया,શું હું સર્જરી પહેલા જસ્ટોઝા ૧૦ મિલિગ્રામ ટીકડી લઈ શકું?,,૧૦ મિલિગ્રામ ટીકડી,સર્જરી,drug
Will I need to stop Ecosprin 150 Tablet before surgery or dental procedure?,,Ecosprin 150 Tablet,"surgery, dental procedure",నేను శస్త్ర చికిత్స లేదా దంత ప్రక్రియకు ముందు ఎకోస్ప్రిన్ ౧౫౦ మాత్రని ఆపివేయాలా?,,ఎకోస్ప్రిన్ ౧౫౦ మాత్ర,"శస్త్ర చికిత్స,దంత ప్రక్రియ",অস্ত্রোপচার বা দাঁতের কোনো প্রক্রিয়ার আগে একস্প্রিন ১৫০ ট্যাবলেট বন্ধ করার প্রয়োজন আছে কি?,,একস্প্রিন ১৫০,"অস্ত্রোপচার, দাঁতের প্রক্রিয়ার",क्या मुझे सर्जरी या दंत प्रक्रिया से पहले एकोस्प्रिन 150 टैबलेट को रोकने की आवश्यकता होगी?,,एकोस्प्रिन 150 टैबलेट,"शल्य चिकित्सा, दंत प्रक्रिया",அறுவை சிகிச்சை அல்லது பல் நடைமுறைக்கு முன் ஈகோஸ்பிரின் 150 மாத்திரையை நான் நிறுத்த வேண்டுமா?,,ஈகோஸ்பிரின் 150 மாத்திரையை ,"அறுவை சிகிச்சை, பல் நடைமுறைக்கு",मला शस्त्रक्रिया किंवा दंत प्रक्रियेपूर्वी इकोस्प्रिन १५० टैबलेट  बंद करावे लागेल का?,,इकोस्प्रिन १	५० टैबलेट,शस्त्रक्रिया किंवा दंत प्रक्रिये,શું મારે સર્જરી અથવા ડેન્ટલ પ્રક્રિયા પહેલા ઇકોસ્પ્રિન ૧૫૦ ટીકડી બંધ કરવી પડશે?,,ઇકોસ્પ્રિન ૧૫૦ ટીકડી,"સર્જરી, ડેન્ટલ પ્રક્રિયા",drug
Can Dolonex DT 20mg Tablet be used in hypertension?,hypertension,Dolonex DT 20mg Tablet,,డోలోనెక్స్ డిటి ౨౦ మిగ్రా మాత్రను రక్తపోటు ఉపయోగించవచ్చా?,రక్తపోటు,డోలోనెక్స్ డిటి ౨౦ మిగ్రా మాత్ర,,ডোলোনেক্স ডিটি ২০ মিলিগ্রাম ট্যাবলেট উচ্চ রক্তচাপে ব্যবহার করা যেতে পারে কি?,উচ্চ রক্তচাপ,ডোলোনেক্স ডিটি ২০ মিলিগ্রাম,,क्या उच्च रक्तचाप में डोलोनेक्स डीटी २०एमजी टैबलेट का प्रयोग किया जा सकता है?,उच्च रक्तचाप,डोलोनेक्स डीटी २०एमजी टैबलेट,,டோலோனெக்ஸ் டிடி 20 எம்ஜி மாத்திரையை உயர் இரத்த அழுத்தத்தில் பயன்படுத்த முடியுமா?,உயர் இரத்த அழுத்தத்தில்,டோலோனெக்ஸ் டிடி 20 எம்ஜி மாத்திரையை ,,डॉलोनेक्स २० एमजी टॅब्लेट डीटी उच्च रक्तदाब वापरले जाऊ शकते ?,उच्च रक्तदाब,डॉलोनेक्स २० एमजी टॅब्लेट डीटी,,શું ડોલોનેક્સ ડીટી ૨૦ મિલિગ્રામ ટીકડી માટે વાપરી શકાય જેમકે હાઇપરટેન્શન?,હાયપરટેન્શન,ડોલોનેક્સ ડીટી ૨૦ મિલિગ્રામ ટીકડી,,drug
What should I do if my child shows no improvement even after taking Oflox OZ Suspension for the prescribed duration?,,Oflox OZ Suspension,,సూచించిన వ్యవధిలో ఓఫ్లోక్స్ ఓజెడ్ సస్పెన్షన్  తీసుకున్న తర్వాత కూడా నా బిడ్డ ఎటువంటి మెరుగుదల చూపకపోతే నేను ఏమి చేయాలి?,,ఓఫ్లోక్స్ ఓజెడ్ సస్పెన్షన్,,নির্ধারিত সময়কালের জন্য অফলক্স ওজ় সাসপেনশন নেওয়ার পরেও যদি আমার সন্তানের কোন উন্নতি না হয় তবে আমার কী করা উচিত?,,অফলক্স ওজ়,,यदि ओफ्लोक्स ओज़ेड सस्पेंशन को निर्धारित अवधि के लिए लेने के बाद भी मेरा बच्चा कोई सुधार नहीं दिखाता है तो मुझे क्या करना चाहिए?,,ओफ्लोक्स ओज़ेड सस्पेंशन,,பரிந்துரைக்கப்பட்ட காலத்திற்கு ஆஃப்லாக்ஸ் ஓஸ் சஸ்பென்ஷனை எடுத்துக் கொண்ட பிறகும் எனது குழந்தை எந்த முன்னேற்றத்தையும் காட்டவில்லை என்றால் நான் என்ன செய்ய வேண்டும்?,,ஆஃப்லாக்ஸ் ஓஸ் சஸ்பென்ஷனை,,ओफ्लॉक्स ऑज़ सस्पेन्शन ने विहित कालावधीसाठी घेतल्यानंतरही माझ्या मुलामध्ये सुधारणा होत नसेल तर मी काय करावे?,,ओफ्लॉक्स ऑज़ सस्पेन्शन,,જો મારા બાળકને સૂચવેલ સમયગાળા માટે ઓફલોક્સ ઓઝેડ સસ્પેન્શન લીધા પછી પણ કોઈ સુધારો થતો નથી તો મારે શું કરવું જોઈએ?,,ઓફલોક્સ ઓઝેડ સસ્પેન્શન,,drug
How is Lasix Injection different from Torasemide?,,"Lasix Injection, Torasemide",,లశిక్ష్ ఇంజెక్షన్ టొరాసెమైడ్ కంటే ఏవిధంగా విభిన్నంగా ఉంటుంది?,,"లశిక్ష్ ఇంజెక్షన్, టొరాసెమైడ్",,ল্যাসিক্স ইনজেকশন কিভাবে টোরাসেমিডে থেকে আলাদা?,,"ল্যাসিক্স ইনজেকশন, টোরাসেমিডে ",,लासिक्स इंजेक्शन टोरासेमाइड से कैसे अलग है?,,"लासिक्स इंजेक्शन,  टोरासेमाइड",,டோராசெமைட்டிலிருந்து லாசிக்ஸ் ஊசி எவ்வாறு வேறுபடுகிறது?,,"டோராசெமைட்டிலிருந்து, லாசிக்ஸ் ஊசி",,"लॅक्सिक्स इंजेक्शन,टोरासाइमाइड पेक्षा वेगळे कसे आहे?",,"लॅक्सिक्स इंजेक्शन,टोरासाइमाइड",,લાસિક્સ ઇન્જેક્શન ટોરાસેમાઇડ થી કેવી રીતે અલગ છે?,,"લાસિક્સ ઇન્જેક્શન, ટોરાસેમાઇડ",,drug
How long will it take to get my thyroid levels under control?,Thyroid levels,,,నా థైరాయిడ్ స్థాయిలను నియంత్రణలోకి తీసుకురావడానికి ఎంత సమయం పడుతుంది?,థైరాయిడ్ స్థాయి,,,আমার থাইরয়েডের মাত্রা নিয়ন্ত্রণে আনতে কতক্ষণ সময় লাগবে?,থাইরয়েডের মাত্রা,,,मेरे थायराइड के स्तर को नियंत्रण में आने में कितना समय लगेगा?,थायराइड,,,எனது தைராய்டு அளவைக் கட்டுப்படுத்த எவ்வளவு நேரம் ஆகும்?,தைராய்டு அளவைக்,,,माझी थायरॉईड पातळी नियंत्रणात येण्यासाठी किती वेळ लागेल?,थायरॉईड पातळी,,,મારા થાઇરોઇડના સ્તરને નિયંત્રણમાં લાવવામાં કેટલો સમય લાગશે?,થાઇરોઇડના સ્તર,,,other
Is it possible to regrow my hair?,,,,నా జుట్టును తిరిగి పెంచడం సాధ్యమేనా?,,,,আমার চুল কি পুনরায় গজানো সম্ভব?,,,,क्या मेरे बालों को दोबारा उगाना संभव है?,,,,என் தலைமுடியை மீண்டும் வளர முடியுமா?,,,,माझे केस पुन्हा वाढवणे शक्य आहे का?,,,,શું મારા વાળ ફરીથી ઉગાડવાનું શક્ય છે?,,,,other
I have started using Keraglo - AD Anti-Dandruff Shampoo. By when can I expect to start seeing the improvements?,,Keraglo - AD Anti-Dandruff Shampoo,,నేను కెరగ్లో - ఏడి యాంటీ డాండ్రఫ్ షాంపూని ఉపయోగించడం ప్రారంభించాను. నేను ఎప్పటికి మెరుగుదలను చూడగలనని ఆశించగలను?,,కెరగ్లో - ఏడి యాంటీ డాండ్రఫ్ షాంపూ,,আমি কেরাগলো এন্টি-খুশকি শ্যাম্পু ব্যবহার শুরু করেছি। কখন আমি উন্নতি দেখতে পেতে পারি?,,কেরাগলো এন্টি-খুশকি শ্যাম্পু,,मैंने केराग्लो - एडी एंटी-डैंड्रफ शैम्पू (Keraglo) का प्रयोग करना शुरू कर दिया है। कब  तक मैं सुधार देखना शुरू करने की उम्मीद कर सकता हूँ ?,,केराग्लो - एडी एंटी-डैंड्रफ शैम्पू,,நான் கெராக்லோ - கி.பி. எதிர்ப்பு பொடுகு ஷாம்பூவைப் பயன்படுத்தத் தொடங்கினேன். மேம்பாடுகளைப் பார்க்க நான் எப்போது எதிர்பார்க்கலாம்?,,கெராக்லோ - கி.பி. எதிர்ப்பு பொடுகு,,मी केराग्लो - एडी अँटी-डँड्रफ शैम्पू वापरण्यास सुरुवात केली आहे. मी कधीपर्यंत सुधारणा पाहणे सुरू करण्याची अपेक्षा करू शकतो?,,केराग्लो - एडी अँटी-डँड्रफ शैम्पू,,મેં કેરાગ્લો - એડી એન્ટિ-ડેન્ડ્રફ શેમ્પૂનો ઉપયોગ કરવાનું શરૂ કર્યું છે. હું ક્યારે સુધારાઓ જોવાનું શરૂ કરવાની અપેક્ષા રાખી શકું?,,કેરાગ્લો - એડી એન્ટિ-ડેન્ડ્રફ શેમ્પૂ,,other
How many types of gallstones are there?,gallstone,,,ఎన్ని రకాల పిత్తాశయ రాళ్లు ఉన్నాయి?,పిత్తాశయ రాళ్లు,,,কত ধরনের গলস্টোন আছে?,গলস্টোন,,,पित्त पथरी कितने प्रकार की होती है?,पित्त पथरी,,,எத்தனை வகையான பித்தப்பைகள் உள்ளன?,பித்தப்பைகள்,,,पित्ताशयाचे खडे किती प्रकारचे असतात?,पित्ताशयाचे खडे,,,પિત્તાશયની પથરી કેટલા પ્રકારના હોય છે?,પિત્તાશયની પથરી,,,other
What is bilirubin?,bilirubin,,,బిలిరుబిన్ అంటే ఏమిటి?,బిలిరుబిన్,,,বিলিরুবিন কি?,বিলিরুবিন,,,बिलीरुबिन क्या है?,बिलीरुबिन,,,பிலிரூபின் என்றால் என்ன?,பிலிரூபின்,,,बिलीरुबिन म्हणजे काय?,बिलीरुबिन,,,બિલીરૂબિન શું છે?,બિલીરૂબિન,,,other
How much does the prostate weigh on average?,,,,ప్రోస్టేట్ సగటున ఎంత బరువు ఉంటుంది?,,,,প্রস্টেটের ওজন গড়ে কত?,,,,प्रोस्टेट का वजन औसतन कितना होता है?,,,,புரோஸ்டேட் சராசரியாக எவ்வளவு எடை கொண்டது?,,,,प्रोस्टेटचे सरासरी वजन किती असते?,,,,પ્રોસ્ટેટનું સરેરાશ વજન કેટલું છે?,,,,other
What should I tell my doctor before taking this medicine?,,,,ఈ ఔషధం తీసుకోవడానికి ముందు నేను నా వైద్యుడికి ఏమి చెప్పాలి?,,,,এই ওষুধটি খাওয়ার আগে আমার ডাক্তারকে কী বলা উচিত?,,,,इस दवा को लेने से पहले मुझे अपने डॉक्टर को क्या बताना चाहिए?,,,,இந்த மருந்தை உட்கொள்வதற்கு முன்பு நான் என் மருத்துவரிடம் என்ன சொல்ல வேண்டும்?,,,,हे औषध घेण्यापूर्वी मी माझ्या डॉक्टरांना काय सांगावे?,,,,આ દવા લેતા પહેલા મારે મારા ડૉક્ટરને શું કહેવું જોઈએ?,,,,other
How can I find a stem cell donor for my child who has blood cancer?,Blood cancer,,stem cell donor,రక్త క్యాన్సర్ ఉన్న నా బిడ్డ కోసం స్టెమ్ సెల్ దాతను నేను ఎలా కనుగొనగలను?,రక్త క్యాన్సర్,,స్టెమ్ సెల్ దాత,ব্লাড ক্যান্সারে আক্রান্ত আমার সন্তানের জন্য আমি কীভাবে স্টেম সেল দাতা খুঁজে পেতে পারি?,ব্লাড ক্যান্সার,,স্টেম সেল দাতা,"मैं अपने बच्चे के लिए जिसे रक्त कैंसर है , एक स्टेम सेल दाता कैसे पा सकता हूं है?",रक्त कैंसर,,स्टेम सेल डोनर,இரத்த புற்றுநோயால் பாதிக்கப்பட்ட என் குழந்தைக்கு ஒரு ஸ்டெம் செல் நன்கொடையாளரை நான் எவ்வாறு கண்டுபிடிப்பது?,இரத்த புற்றுநோயால்,,ஸ்டெம் செல் நன்கொடையாளரை,रक्ताचा कर्करोग असलेल्या माझ्या मुलासाठी मी स्टेम सेल दाता कसा शोधू शकतो?,रक्ताचा कर्करोग,,स्टेम सेल दाता,બ્લડ કેન્સર ધરાવતા મારા બાળક માટે હું સ્ટેમ સેલ દાતા કેવી રીતે શોધી શકું?,બ્લડ કેન્સર,,સ્ટેમ સેલ દાતા,other
Can other medicines be given at the same time as Emeset Syrup Juicy Lemon?,,Emeset Syrup Juicy Lemon,,ఎమెసెట్ సిరప్ జ్యుసి నిమ్మకాయ ని ఇతర మందులు ఇచ్చే అదే సమయంలో ఇవ్వవచ్చా?,,ఎమెసెట్ సిరప్ జ్యుసి నిమ్మకాయ,,এমএসেট সিরাপ রসালো লেবু একই সময়ে অন্যান্য ওষুধ নেওয়া যেতে পারে?,,এমএসেট সিরাপ রসালো লেবু,,क्या अन्य दवाएं एमेसेट सिरप जूसी लेमन के साथ साथ दी जा सकती हैं?,,एमेसेट सिरप जूसी लेमन,,எமசெட் சிரப் ஜூசி லெமன் கொடுக்கும் அதே நேரத்தில் மற்ற மருந்துகளையும் கொடுக்க முடியுமா?,,எமசெட் சிரப் ஜூசி லெமன்,,इमेसेट रसदार लिंबू सिरप हे इतर औषधे एकाच वेळी घेत असाल?,,इमेसेट रसदार लिंबू सिरप,,શું એમેસેટ સીરપ રસદાર લીંબુ (ઍમેસેટ) દવાની સાથે બીજી દવા પણ લઇ શકાય?,,એમેસેટ સીરપ રસદાર લીંબુ,,other
Can menopause affect my sex life?,menopause,,,రుతువిరతి నా లైంగిక జీవితాన్ని ప్రభావితం చేయగలదా?,రుతువిరతి,,,মেনোপজ আমার যৌন জীবন প্রভাবিত করতে পারে?,মেনোপজ,,,क्या मेनोपॉज मेरी सेक्स लाइफ को प्रभावित कर सकता है?,मेनोपॉज,,,மாதவிடாய் நிறுத்தம் எனது பாலியல் வாழ்க்கையை பாதிக்குமா?,மாதவிடாய் நிறுத்தம்,,,रजोनिवृत्तीचा माझ्या लैंगिक जीवनावर परिणाम होऊ शकतो?,रजोनिवृत्ती,,,શું મેનોપોઝ મારી સેક્સ લાઈફને અસર કરી શકે છે?,મેનોપોઝ,,,other