question_english,disease_english,drug_english,treatment_english,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
will a blood transfusion get rid of herpes,herpes,,blood transfusion,क्या खून चढ़ाने से दाद से छुटकारा मिलेगा,हरपीज,,रक्त आधान,রক্ত সঞ্চালন কি হারপিস উপশম করবে?,হারপিস,,রক্ত সঞ্চালন,ஒரு இரத்தமாற்றம் ஹெர்பெஸிலிருந்து விடுபடுமா?,ஹெர்பெஸிலிருந்து ,,இரத்தமாற்றம் ,రక్తమార్పిడి హెర్పెస్ ను వదిలిస్తుందా?,హెర్పెస్,,రక్తమార్పిడి,रक्त संक्रमण नागीण घालवतात,नागीण,,रक्त संक्रमण,શું લોહી ચઢાવવાથી હર્પીસથી છુટકારો મળશે ?,હર્પીસ,,રક્ત તબદિલી,treatment
i have some hip pain 9 weeks. had mra image recently would welcome second opinion?,hip pain,,mra image,मेरे कूल्हे में ९ सप्ताह से कुछ दर्द है। क्या एमआरए छवि हाल ही में दूसरी राय का स्वागत करेगी?,कूल्हे का दर्द,,एमआरए छवि,আমার ৯ সপ্তাহ কিছু নিতম্ব ব্যথা আছে। সম্প্রতি এমআরএ চিত্রটিতে কি দ্বিতীয় মতামতকে স্বাগত জানাবে?,নিতম্ব ব্যথা,,এমআরএ চিত্র,எனக்கு 9 வாரங்களாக இடுப்பு வலி உள்ளது. சமீபத்தில் எம்ஆர்ஏ படம் இருந்தால் இரண்டாவது கருத்தை வரவேற்கலாமா?,இடுப்பு வலி,,எம்ஆர்ஏ படம்,"నాకు ౯ వారాల పాటు కొంత తుంటి  నొప్పి  ఉంది. ఇటీవల ఎమ్ఆర్ఎ ఇమేజ్ కూడా తీపించాను, రెండవ అభిప్రాయాన్ని స్వాగతిస్తాను",తుంటి నొప్పి,,ఎమ్ఆర్ఎ ఇమేజ్,मला ९  आठवडे हिप दुखत आहे. एमारे प्रतिमा अलीकडे दुसऱ्या मताचे स्वागत करेल का?,हिप दुख,,एमारे  ,મને ૯ અઠવાડિયાથી હિપમાં દુખાવો છે. શું એમઆરએ ઇમેજ તાજેતરમાં બીજા અભિપ્રાયને આવકારશે?,હિપ પીડા,,એમઆરએ  છબી,treatment
what do you think about the effectiveness of laser treatment for wrinkle removal?,wrinkle removal,,Laser Treatment,शिकन हटाने के लिए लेजर उपचार की प्रभावशीलता के बारे में आप क्या सोचते हैं?,शिकन हटाना,,लेजर उपचार,বলিরেখা অপসারণের জন্য লেজারের চিকিৎসার কার্যকারিতা সম্পর্কে আপনি কী মনে করেন?,বলিরেখা অপসারণের,,লেজারের চিকিৎসা,சுருக்கத்தை அகற்றுவதற்கான லேசர் சிகிச்சையின் செயல்திறனைப் பற்றி நீங்கள் என்ன நினைக்கிறீர்கள்?,சுருக்கத்தை அகற்றுவதற்கான,,லேசர் சிகிச்சை,ముడతలు తొలగించడానికి లేజర్ చికిత్స యొక్క సమర్థత గురించి మీరు ఏమి అనుకుంటున్నారు?,ముడతలు,,లేజర్ చికిత్స,सुरकुत्या,सुरकुत्या काढणे ,,लेसर उपचार,કરચલીઓ દૂર કરવા માટે લેસર સારવારની અસરકારકતા વિશે તમે શું વિચારો છો?,કરચલીઓ દૂર કરવી,,લેસર સારવાર,treatment
i think my father might need a pacemaker?,,,pacemaker,मुझे लगता है कि मेरे पिता को पेसमेकर की ज़रूरत हो सकती है?,,,पेसमेकर ,আমার বাবার পেসমেকার দরকার হতে পারে?,,,পেসমেকার,என் தந்தைக்கு ஒரு இதயமுடுக்கி தேவைப்படலாம் என்று நினைக்கிறேன்?,,,இதயமுடுக்கி,నా తండ్రికి పేస్ మేకర్ అవసరం కావచ్చు అని నేను అనుకుంటున్నాను,,,పేస్ మేకర్,मला वाटते की माझ्या वडिलांना पेसमेकरची गरज आहे?,,,पेसमेकरची,મને લાગે છે કે મારા પિતાને પેસમેકરની જરૂર પડી શકે છે?,,,પેસમેકર,treatment
how long to clean blood test for nicotine,,nicotine,blood test,"निकोटिन के लिए परीक्षण, रक्त कब तक साफ करना है",,निकोटिन,रक्त परिक्षण ,রক্ত পরীক্ষায় নিকোটিন না পেতে হলে কতক্ষণ অপেক্ষা করতে হবে?,,নিকোটিন,রক্ত পরীক্ষায়,நிகோடினுக்கு இரத்த பரிசோதனையை எவ்வளவு நேரம் சுத்தம் செய்ய வேண்டும்,,நிகோடின்,இரத்த பரிசோதனையை,నికోటిన్ కోసం రక్త పరీక్షను ఎంతకాలం శుభ్రం చేయాలి,,నికోటిన్,రక్త పరీక్ష,निकोटीनसाठी रक्त तपासणी किती काळ स्वच्छ करावी,,निकोटीन, रक्त तपासणी,નિકોટિન માટે રક્ત પરીક્ષણ કેટલા સમય સુધી સાફ કરવું,,નિકોટિન,લોહીની તપાસ,treatment
what are the screening tests for prostate cancer?,Prostate cancer,,screening tests,प्रोस्टेट कैंसर के लिए स्क्रीनिंग परीक्षण क्या हैं?,प्रोस्टेट कैंसर,,स्क्रीनिंग टेस्ट,প্রোস্টেট ক্যান্সারের জন্য স্ক্রিনিং পরীক্ষাগুলি কী কী?,প্রোস্টেট ক্যান্সার,,স্ক্রিনিং পরীক্ষাগুলি,புரோஸ்டேட் புற்றுநோய்க்கான ஸ்கிரீனிங் சோதனைகள் யாவை?,புரோஸ்டேட் புற்றுநோய்,,ஸ்கிரீனிங் சோதனைகள்,ప్రోస్టేట్ క్యాన్సర్ కొరకు స్క్రీనింగ్ పరీక్షలు ఏమిటి?,ప్రోస్టేట్ క్యాన్సర్,,స్క్రీనింగ్ పరీక్ష,प्रोस्टेट कर्करोगासाठी स्क्रीनिंग चाचण्या काय आहेत?,प्रोस्टेट कर्करोग,,स्क्रीनिंग चाचण्या,પ્રોસ્ટેટ કેન્સર માટે સ્ક્રીનીંગ ટેસ્ટ શું છે?,પ્રોસ્ટેટ કેન્સર,,સ્ક્રીનીંગ પરીક્ષણો,treatment
should you take an antibiotic for a positive clue cell exam,,antibiotic,clue cell exam,क्या आपको एक सकारात्मक सुराग सेल परीक्षा के लिए एंटीबायोटिक लेना चाहिए।,,एंटीबायोटिक ,क्लू सेल परीक्षा,একটি পজিটিভ ক্লু সেল পরীক্ষার জন্য আপনার কি অ্যান্টিবায়োটিক গ্রহণ করা উচিত?,,অ্যান্টিবায়োটিক,ক্লু সেল পরীক্ষার,நேர்மறையான துப்பு செல் தேர்வுக்கு நீங்கள் ஒரு ஆண்டிபயாடிக் எடுக்க வேண்டுமா?,,ஆண்டிபயாடிக்,துப்பு செல் தேர்வுக்கு,పాజిటివ్ క్లూ సెల్ పరీక్ష కొరకు మీరు యాంటీబయాటిక్ తీసుకోవాలా?,,యాంటీబయాటిక్,క్లూ సెల్ పరీక్ష,पॉझिटिव्ह क्लू सेल तपासणीसाठी तुम्ही प्रतिजैविक घ्यावे का?,,प्रतिजैविक,क्लू सेल तपासणी,શું તમારે સકારાત્મક ચાવી સેલ પરીક્ષા માટે એન્ટિબાયોટિક લેવી જોઈએ,,એન્ટિબાયોટિક,ચાવી સેલ પરીક્ષા,treatment
i am facing a laparoscopic mastectomy can this surgery be done without taking lapron?,,lapron,"laparoscopic mastectomy, surgery",मुझे लैप्रोस्कोपिक मास्टेक्टॉमी का सामना करना पड़ रहा है क्या यह सर्जरी लैप्रोन लिए बिना की जा सकती है?,,लैप्रोन,"लेप्रोस्कोपिक मास्टेक्टॉमी, सर्जरी",আমি একটি ল্যাপারোস্কোপিক মাস্টেকটমি করাচ্ছি এই অস্ত্রোপচার ল্যাপ্রন গ্রহণ ছাড়া করা যেতে পারে?,,ল্যাপ্রন,"ল্যাপারোস্কোপিক মাস্টেকটমি, অস্ত্রোপচার","நான் ஒரு லேபராஸ்கோபிக் முலையழற்சி எதிர்கொள்கிறேன், இந்த அறுவை சிகிச்சையை லேப்ரான் எடுக்காமல் செய்ய முடியுமா?",,லேப்ரான்,"அறுவை சிகிச்சையை, லேபராஸ்கோபிக் முலையழற்சி","నేను ల్యాప్రోస్కోపిక్ మాస్టెక్టమీని ఎదుర్కొంటున్నాను, లాప్రాన్ తీసుకోకుండా ఈ శస్త్రచికిత్స చేయవచ్చా?",,లాప్రాన్,"ల్యాప్రోస్కోపిక్ మాస్టెక్టమీ, శస్త్రచికిత్స",मी लॅपरोस्कोपिक मास्टेक्टॉमीचा सामना करत आहे ही शस्त्रक्रिया लॅपरॉन न घेता करता येईल का?,,लॅपरॉन,लॅपरोस्कोपिक मास्टेक्टॉमी,હું લેપ્રોસ્કોપિક માસ્ટેક્ટોમીનો સામનો કરી રહ્યો છું શું આ સર્જરી લેપ્રોન લીધા વિના કરી શકાય છે?,,લેપ્રોન,"લેપ્રોસ્કોપિક માસ્ટેક્ટોમી, સર્જરી",treatment
can chiropractic manipulation of the neck cause vertigo?,vertigo,,chiropractic manipulation,क्या गर्दन के कायरोप्रैक्टिक हेरफेर से चक्कर आ सकते हैं?,सिर का चक्कर,,कायरोप्रैक्टिक हेरफेर,ঘাড়ের কাইরোপ্র্যাক্টিক ম্যানিপুলেশন কি ভার্টিগোর কারণ হতে পারে?,ভার্টিগো,,কাইরোপ্র্যাক্টিক ম্যানিপুলেশন,கழுத்து சிரோபிராக்டிக் கையாளுதல் வெர்டிகோவை ஏற்படுத்த முடியுமா?,வெர்டிகோ,,சிரோபிராக்டிக் கையாளுதல்,మెడ యొక్క చిరోప్రాక్టిక్ తారుమారు వెర్టిగోకు కారణమవుతుందా?,వెర్టిగో,,చిరోప్రాక్టిక్ తారుమారు,मानेच्या कायरोप्रॅक्टिक हाताळणीमुळे चक्कर येऊ शकते का?,चक्कर,,कायरोप्रॅक्टिक हाताळणी,શું ગરદનના શિરોપ્રેક્ટિક મેનીપ્યુલેશનથી વર્ટિગો થઈ શકે છે?,ચક્કર,,ચિરોપ્રેક્ટિક મેનીપ્યુલેશન,treatment
can anesthesia during surgery cause memory loss or signs of senility?,"memory loss, signs of senility",anesthesia,surgery,क्या सर्जरी के दौरान बेहोशी स्मृति हानि या बुढ़ापा के लक्षण पैदा कर सकता है?,"स्मृति हानि, बुढ़ापा के लक्षण",बेहोशी,सर्जरी ,অস্ত্রোপচারের সময় অ্যানেস্থেসিয়া কি স্মৃতিভ্রংশ বা বার্ধক্যের লক্ষণ প্রদর্শনের কারণ হতে পারে?,"স্মৃতিভ্রংশ, বার্ধক্যের লক্ষণ",অ্যানেস্থেসিয়া,অস্ত্রোপচার,அறுவை சிகிச்சையின் போது மயக்க மருந்து நினைவாற்றல் இழப்பு அல்லது முதிர்ச்சியின் அறிகுறிகளை ஏற்படுத்த முடியுமா?,"நினைவாற்றல் இழப்பு, முதிர்ச்சியின் அறிகுறிகளை",மயக்க மருந்து,அறுவை சிகிச்சையின்,శస్త్రచికిత్స సమయంలో అనస్థీషియా జ్ఞాపకశక్తి కోల్పోవడం లేదా వృద్ధాప్య సంకేతాలను కలిగిస్తుందా?,"జ్ఞాపకశక్తి, వృద్ధాప్య సంకేతాలను",అనస్థీషియా,శస్త్రచికిత్స,शस्त्रक्रियेदरम्यान ऍनेस्थेसियामुळे स्मरणशक्ती कमी होऊ शकते किंवा वृद्धत्वाची चिन्हे होऊ शकतात?,"स्मरणशक्ती कमी,वृद्धत्वाची चिन्हे",ऍनेस्थेसिया,शस्त्रक्रिय,શું શસ્ત્રક્રિયા દરમિયાન એનેસ્થેસિયા યાદશક્તિમાં ઘટાડો અથવા વૃદ્ધત્વના ચિહ્નોનું કારણ બની શકે છે?,"યાદશક્તિમાં ઘટાડો, વૃદ્ધત્વના ચિહ્નો",,,treatment
does 2 or 2 1/2 glasses of wine a day caues high blood preasure?,high blood pressure,,,क्या एक दिन में शराब के २ या २ १/२ गिलास उच्च रक्तचाप करता है?,उच्च रक्तचाप,,,দিনে ২ বা ২ ১/২ গ্লাস ওয়াইন কি উচ্চ রক্তচাপের কারণ হতে পারে?,উচ্চ রক্তচাপ,,,ஒரு நாளைக்கு 2 அல்லது 2 1/2 டம்ளர் ஒயின் அதிக இரத்த அழுத்தத்தை ஏற்படுத்துகிறதா?,அதிக இரத்த அழுத்தத்தை,,,రోజుకు ౨ లేదా ౨ ౧/౨ గ్లాసుల మందు  అధిక రక్తపోటుని  కలిగిస్తుందా?,అధిక రక్తపోటు,,,दिवसातून दिवसातून २ किंवा २ १ /२ ग्लास वाइन केल्याने उच्च रक्तप्रवाह होतो का?,उच्च रक्तप्रवाह,,,શું દિવસમાં ૨ અથવા ૨ ૧/૨ ગ્લાસ વાઇન હાઈ બ્લડ પ્રીઝરનું કારણ બને છે?,હાઈ બ્લડ પ્રેશર,,,disease
is tendonitis the same as a pulled tendon,"tendonitis, pulled tendon",,,टेंडोनाइटिस एक खींचे गए कण्डरा के समान है,"टेंडोनाइटिस, खींचा हुआ कण्डरा",,,টেন্ডোনাইটিস আর টান পড়া টেন্ডন কি একই?,"টেন্ডোনাইটিস, টান পড়া টেন্ডন",,,தசைநார் அழற்சி என்பது இழுக்கப்பட்ட தசைநார் போன்றது,"தசைநார் அழற்சி, தசைநார் ",,,స్నాయువు అనేది లాగబడిన స్నాయువు వలె ఉంటుంది?,"స్నాయువు, లాగబడిన స్నాయువు",,,टेंडोनिटिस हे ओढलेल्या टेंडनसारखेच असते,"टेंडोनिटिस,ओढलेल्या टेंडनसारखेच",,,શું કંડરાનો સોજો ખેંચાયેલા કંડરા જેવો જ છે?,"કંડરાનો સોજો, ખેંચાયેલ કંડરા",,,disease
scoliosis. does it effect the stomach and breathing.,Scoliosis,,,क्या स्कोलियोसिस पेट और साँस लेने को प्रभावित करता है।,स्कोलियोसिस,,,স্কোলিওসিস। এটি কি পেট এবং শ্বাস-প্রশ্বাসকে প্রভাবিত করে?,স্কোলিওসিস,,,ஸ்கோலியோசிஸ். இது வயிறு மற்றும் சுவாசத்தை பாதிக்கிறதா?,ஸ்கோலியோசிஸ்.,,,స్కోలియోసిస్. ఇది కడుపు మరియు శ్వాసపై ప్రభావం చూపిస్తుందా?,స్కోలియోసిస్,,,स्कोलियोसिस त्याचा पोटावर आणि श्वासावर परिणाम होतो.,स्कोलियोसिस,,,સ્કોલિયોસિસ શું તે પેટ અને શ્વાસને અસર કરે છે?,સ્કોલિયોસિસ,,,disease
when a pacemaker messes up does it cause someone to be violent and abusive?,"violent, abusive",,pacemaker,जब कोई पेसमेकर गड़बड़ करता है तो क्या यह किसी के हिंसक और अपमानजनक होने का कारण बनता है?,"हिंसक, अपमानजनक",,पेसमेकर ,পেসমেকার বিগড়ে গেলে তা কি কাউকে হিংস্র এবং অশিষ্ট করে তোলে?,"হিংস্র, অশিষ্ট",,পেসমেকার,"ஒரு இதயமுடுக்கி குழப்பமடையும் போது, அது யாரையாவது வன்முறையாகவும் துஷ்பிரயோகமாகவும் இருக்க வைக்கிறதா?","வன்முறையாகவும், துஷ்பிரயோகமாகவும்",,இதயமுடுக்கி,పేస్మేకర్ గందరగోళానికి గురైనప్పుడు అది ఎవరైనా హింసాత్మకంగా మరియు దుర్భాషలాడేందుకు కారణమవుతుందా?,"హింసాత్మకం , దుర్భాషలాడడం",,పేస్మేకర్,जेव्हा पेसमेकर गडबड करतो तेव्हा तो एखाद्याला हिंसक आणि अपमानास्पद बनवतो का?,"हिंसक , अपमानास्पद",,पेसमेकर,જ્યારે પેસમેકર ગડબડ કરે છે ત્યારે શું તે કોઈને હિંસક અને અપમાનજનક બનવાનું કારણ બને છે?,"હિંસક, અપમાનજનક",પેસમેકર,,disease
can cpap machine cause pleurisy,pleurisy,,cpap machine,क्या सीपीएपी मशीन फुफ्फुस का कारण बन सकती है,फुफ्फुस,,सी पी ऐ पी मशीन ,সি প্যাপ মেশিন প্লেউরিসির কারণ হতে পারে?,প্লেউরিসি,,সি প্যাপ মেশিন,CPAP இயந்திரம் ப்ளூரிசியை ஏற்படுத்த முடியுமா,ப்ளூரிசி,,CPAP இயந்திரம்,సీపాప్  యంత్రం ప్లూరిసికి కారణం కాగలదా?,ప్లూరిసి,,సీపాప్,सीपँप मशीनमुळे फुफ्फुसाचा दाह होऊ शकतो,फुफ्फुसाचा दाह,,सीपँप,સીપીએપી મશીન પ્યુરીસીનું કારણ બની શકે છે,પ્યુરીસી,,સીપીએપી,disease
i had my uterus removed can i still get cervical cancer,Cervical cancer,,uterus removed,मैंने अपना गर्भाशय निकाल दिया था क्या मुझे अब भी सर्वाइकल कैंसर हो सकता है?,सर्वाइकल कैंसर,,गर्भाशय निकाला गया,আমি তো আমার জরায়ু অপসারণ করেছি আমি কি এখনও জরায়ুর ক্যান্সার পেতে পারি,জরায়ুর ক্যান্সার,,জরায়ু অপসারণ,"நான் என் கருப்பை அகற்றப்பட்டேன், நான் இன்னும் கர்ப்பப்பை வாய்ப் புற்றுநோயைப் பெற முடியுமா?",புற்றுநோயை,,கருப்பை அகற்றப்பட்டேன்,"నేను నా గర్భాశయాన్ని తొలగించుకున్నాను, నాకు ఇంకా గర్భాశయ క్యాన్సర్ వస్తుందా?",గర్భాశయ క్యాన్సర్,,గర్భాశయాన్ని తొలగించు,मी माझे गर्भाशय काढले होते मला अजूनही गर्भाशयाचा कर्करोग होऊ शकतो का?,गर्भाशयाचा कर्करोग,,गर्भाशय काढ,"મેં મારું ગર્ભાશય કાઢી નાખ્યું હતું, શું મને હજુ પણ સર્વાઇકલ કેન્સર થઈ શકે છે",સર્વાઇકલ કેન્સર,,,disease
can taking certain perscription or otc drugs/supplements cause a loss of penile sensation,penile sensation,"OTC Drugs, supplements",,क्या कुछ नुस्खे या ओटीसी दवाएं/सप्लीमेंट्स लेने से पेनाइल संवेदना का नुकसान हो सकता है,पेनाइल संवेदना,"ओटीसी ड्रग्स, सप्लीमेंट्स",,নির্দিষ্ট পারক্রিপশন বা ওটিসি ওষুধ/পরিপূরক গ্রহণ করলে পুরুষাঙ্গের সংবেদন নষ্ট হতে পারে?,পুরুষাঙ্গের সংবেদন নষ্ট,"ওটিসি ওষুধ, পরিপূরক",,சில தடுப்பு அல்லது ஓடிசி மருந்துகள்/கூடுதல் மருந்துகளை உட்கொள்வது ஆண்குறி உணர்வை இழக்க நேரிடுமா?, ஆண்குறி உணர்வை,"ஓடிசி மருந்துகள், கூடுதல் மருந்துகளை",,నిర్దిష్ట నిర్దేశిత లేదా ఓటీసీ  మందులు/సప్లిమెంట్‌లను తీసుకోవడం వల్ల పురుషాంగ సంచలనాన్ని కోల్పోవచ్చ?,పురుషాంగ సంచలనాన్ని,"ఓటీసీ  మందులు, సప్లిమెంట్‌లు",,ठराविक पर्स्क्रिप्शन किंवा ओटीसी ड्रग्स/सप्लिमेंट्स घेतल्याने लिंग संवेदना नष्ट होऊ शकतात,लिंग संवेदना,"ओटीसी ड्रग्स,सप्लिमेंट्स",,ચોક્કસ પર્ક્રિપ્શન અથવા ઓટીસી દવાઓ/પૂર્તિઓ લેવાથી શિશ્નની સંવેદનામાં ઘટાડો થઈ શકે છે,શિશ્ન સંવેદના,"ઓટીસી દવાઓ, પૂરક",,disease
